date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
12-30,31.82,18.68,32.0,19.76,34.34,34.52,30.02,25.7,22.64,24.08,1.22,43.16,19.76,38.48,-2.56,16.88,33.98,0.86,31.1,23.54,30.74,21.56,31.82,36.68,4.352,20.84,31.82,34.484,-2.56,25.7,43.16
12-31,30.56,15.44,38.3,32.54,7.88,43.7,27.68,21.56,35.78,29.84,-0.04,26.24,20.3,40.1,23.72,21.38,23.54,3.92,4.1,35.6,32.18,-3.64,31.28,37.22,3.956,20.948,31.64,37.796,-3.64,26.24,43.7
01-01,32.0,18.86,33.98,29.84,4.82,38.3,33.26,20.84,27.86,33.26,13.46,25.16,24.98,27.86,29.84,30.74,13.64,19.4,15.26,40.82,31.1,9.5,27.86,32.54,13.496,20.264,30.884,33.836,4.82,27.86,40.82
01-02,39.02,30.2,45.32,19.94,26.06,38.3,44.78,42.62,36.14,36.32,21.92,44.42,25.34,35.6,35.24,29.66,-3.46,28.4,30.56,32.36,34.88,32.72,24.44,30.74,22.424,29.156,36.212,44.06,-3.46,32.72,45.32
01-03,45.14,35.78,44.42,-0.04,23.0,33.62,43.7,44.6,14.18,31.28,21.38,44.6,34.7,35.78,7.7,34.7,-4.36,35.06,41.54,37.04,39.02,40.28,23.18,30.38,8.996,28.04,39.524,44.564,-4.36,35.06,45.14
01-04,45.32,29.12,43.88,-11.38,1.94,33.8,29.48,41.72,15.8,30.56,28.94,48.02,34.88,15.44,2.48,40.64,1.4,37.4,42.98,39.2,39.92,20.3,25.34,31.64,2.048,23.324,39.488,43.7,-11.38,30.56,48.02
01-05,46.76,30.56,40.1,-3.64,4.28,44.06,26.78,37.58,30.74,26.42,40.64,47.66,30.56,3.56,35.78,38.12,6.62,41.36,39.92,27.5,33.26,-7.24,28.76,27.86,3.704,27.212,38.84,43.52,-7.24,30.74,47.66
01-06,33.26,36.86,40.46,16.16,22.64,50.36,28.22,30.74,34.52,2.48,46.94,29.48,38.3,32.9,26.96,35.6,15.26,40.82,36.86,34.52,36.14,18.14,33.08,28.22,16.556,28.976,36.428,40.748,2.48,33.26,50.36
01-07,31.28,51.26,49.82,31.82,13.46,46.76,32.9,24.44,47.3,13.28,34.16,25.34,37.04,34.34,30.56,24.8,22.46,36.5,30.74,41.18,33.98,41.18,33.62,21.2,22.856,30.668,36.716,47.192,13.28,33.62,51.26
01-08,41.72,47.84,41.72,39.56,25.16,29.84,32.54,25.52,43.52,35.24,32.18,31.64,40.46,33.8,20.48,19.22,31.1,40.64,25.88,37.76,30.2,29.3,37.22,16.88,25.232,30.056,38.48,41.72,19.22,32.54,47.84
01-09,40.1,34.88,20.84,41.36,12.74,31.64,42.98,29.12,32.72,41.54,10.76,42.26,43.16,34.34,24.26,21.38,41.0,46.04,40.28,23.0,25.16,30.92,37.4,30.38,20.948,27.536,40.568,42.836,10.76,34.34,46.04
01-10,34.16,35.96,18.5,45.68,27.68,43.34,33.98,32.18,37.22,40.46,1.58,35.96,31.28,36.68,38.84,25.88,21.02,25.16,39.38,16.88,28.94,40.82,33.62,21.92,19.004,28.436,36.896,40.748,1.58,33.98,45.68
01-11,30.38,35.96,31.28,36.5,26.06,37.94,-6.7,34.88,37.76,43.34,5.9,17.6,7.52,42.44,26.24,31.28,4.82,20.66,32.9,28.4,36.5,40.46,31.1,-0.94,6.224,26.168,36.176,39.956,-6.7,31.28,43.34
01-12,30.92,41.36,39.2,40.1,24.08,29.84,0.14,30.74,29.48,45.32,31.28,28.22,8.42,33.98,24.98,36.86,18.5,26.96,35.96,28.58,45.14,50.18,35.06,-22.0,19.616,28.436,36.32,44.384,0.14,30.92,50.18
01-13,25.88,30.74,39.92,43.7,-4.0,39.74,10.94,33.26,41.72,41.54,43.52,40.28,8.78,40.46,25.16,42.08,23.18,34.7,39.92,23.36,41.36,45.68,44.24,-17.32,13.388,28.796,41.432,43.664,-4.0,39.92,45.68
01-14,24.44,20.12,31.1,44.06,-0.22,45.5,9.14,41.0,32.18,36.32,45.86,43.16,12.2,31.1,32.0,34.34,27.68,33.8,37.94,10.22,27.32,31.82,41.0,-9.58,10.616,27.536,36.968,43.88,-0.22,32.0,45.86
01-15,18.14,15.44,27.5,40.82,13.1,33.98,24.08,24.26,38.3,43.7,42.98,27.86,32.54,47.84,42.62,25.52,30.74,18.32,31.28,19.04,35.6,39.92,33.98,-6.16,18.176,25.016,36.68,42.908,13.1,31.28,47.84
01-16,18.68,16.34,27.5,36.14,30.2,26.6,33.08,12.2,45.5,44.42,47.12,7.88,34.88,32.72,42.98,21.74,29.3,30.02,32.54,33.8,32.54,40.82,30.38,20.84,16.808,28.58,34.232,44.132,7.88,32.54,47.12
01-17,27.32,17.6,28.4,34.34,40.46,41.72,24.62,25.34,45.5,38.84,43.16,20.48,41.54,39.2,44.06,31.28,40.64,39.74,26.24,31.82,36.68,50.0,28.22,23.18,24.764,28.328,40.532,43.88,17.6,36.68,50.0
01-18,27.86,17.78,35.96,35.78,53.6,33.26,20.84,18.86,47.84,37.4,32.9,9.32,48.56,41.54,47.48,37.4,45.86,48.2,32.72,27.14,29.84,26.96,25.52,2.3,19.256,27.572,39.056,48.128,9.32,33.26,53.6
01-19,32.18,29.12,51.44,33.98,57.02,28.04,33.98,26.78,49.28,35.24,21.2,30.38,40.82,49.46,35.78,32.72,38.84,33.08,39.2,31.46,26.42,13.1,29.12,16.7,26.492,29.876,37.004,49.424,13.1,33.08,57.02
01-20,29.84,28.04,38.66,28.94,53.96,31.64,30.56,1.94,49.82,32.18,28.04,32.9,27.5,33.98,29.3,33.44,31.82,24.62,36.32,39.56,39.02,33.08,27.32,40.28,27.356,29.156,33.656,39.452,1.94,31.82,53.96
01-21,39.02,32.36,10.76,28.94,40.82,28.04,24.62,-1.48,46.22,32.18,37.94,41.54,40.64,39.74,24.98,34.16,29.66,24.26,28.4,42.98,25.7,31.28,32.0,41.0,24.332,28.256,38.372,41.396,-1.48,32.0,46.22
01-22,32.54,19.94,4.46,39.02,38.3,25.88,33.08,20.3,36.32,23.9,31.28,30.02,41.9,27.14,36.32,44.96,31.28,28.04,25.34,34.7,22.82,34.7,28.76,38.66,20.804,26.636,34.7,38.876,4.46,31.28,44.96
01-23,30.38,23.18,37.22,40.46,52.34,41.18,38.12,20.3,2.84,20.66,37.76,31.28,44.96,29.12,37.76,39.92,24.26,26.42,28.4,35.24,19.22,41.18,26.06,38.12,20.372,26.276,37.904,41.18,2.84,31.28,52.34
01-24,29.66,37.58,37.4,35.78,50.18,42.98,42.62,26.6,0.86,24.8,30.74,31.64,43.16,41.9,44.6,34.7,20.66,38.84,23.0,38.84,22.28,29.66,25.88,36.32,22.424,28.436,38.84,43.124,0.86,34.7,50.18
01-25,31.46,42.26,35.06,11.3,43.88,46.22,45.14,31.82,-2.02,22.82,36.32,43.7,41.36,43.7,51.62,28.94,21.56,36.68,27.32,36.14,16.88,26.06,30.02,35.96,17.816,28.292,41.72,44.888,-2.02,35.06,51.62
01-26,23.72,37.76,49.82,20.84,40.1,40.46,30.2,38.66,-0.04,23.18,40.64,38.12,42.44,25.34,55.94,33.98,21.2,31.28,38.12,35.78,14.9,29.84,35.24,32.0,20.912,28.04,38.336,42.08,-0.04,35.24,55.94
01-27,27.14,20.66,41.18,11.48,41.36,30.38,20.3,39.92,23.0,24.26,47.48,26.6,29.3,14.36,52.88,43.52,29.48,32.72,38.84,33.62,24.98,24.44,30.56,39.02,20.372,24.764,35.708,43.088,11.48,29.48,52.88
01-28,34.52,14.18,32.36,35.6,39.38,31.1,30.92,18.86,29.84,27.86,46.76,34.16,24.08,26.24,41.0,46.4,43.52,35.24,18.86,34.34,34.16,37.76,3.92,45.68,18.86,29.048,35.384,43.016,3.92,34.16,46.76
01-29,33.8,11.48,36.5,40.28,37.04,31.1,22.46,22.82,32.72,34.7,36.68,48.56,17.96,37.04,34.16,39.92,50.54,47.3,19.22,33.26,36.86,40.82,-10.66,44.24,18.212,32.072,37.04,46.004,-10.66,34.7,50.54
01-30,28.94,14.9,39.92,39.74,33.62,42.44,22.64,24.44,44.96,29.66,9.32,39.92,28.4,13.82,35.42,28.94,44.24,39.56,29.12,32.9,30.2,40.28,3.74,47.3,14.036,28.724,39.632,42.008,3.74,30.2,44.96
01-31,30.02,24.26,48.92,26.42,36.5,34.16,18.68,29.48,39.2,20.12,-5.44,36.68,31.1,21.92,26.42,25.34,20.66,23.54,37.22,46.58,30.92,32.54,21.74,46.58,20.228,23.972,33.188,38.804,-5.44,29.48,48.92
02-01,34.52,27.68,40.28,22.64,36.14,38.84,5.72,28.22,25.88,30.38,-2.56,35.42,34.16,11.12,22.28,21.92,8.6,26.24,44.24,52.7,39.74,12.2,32.18,42.98,9.104,22.496,34.88,40.172,-2.56,28.22,52.7
02-02,36.86,25.52,26.6,24.26,41.9,35.96,21.56,23.54,41.18,31.64,24.26,30.74,32.72,16.16,40.1,19.4,2.66,40.46,44.6,27.86,45.5,-3.46,36.14,41.36,16.808,24.26,36.428,41.756,-3.46,30.74,45.5
02-03,30.2,33.44,25.16,21.92,50.72,34.88,26.06,23.18,44.24,32.9,37.22,24.98,39.74,5.9,34.34,23.0,27.68,26.78,3.38,14.72,29.66,19.04,44.42,35.6,15.584,24.26,33.8,43.34,3.38,27.68,50.72
02-04,36.32,29.3,21.56,29.48,50.18,38.12,41.72,18.14,47.66,30.02,43.7,29.48,42.08,-8.5,28.58,31.46,37.94,28.22,-8.5,13.82,27.86,34.16,38.3,30.56,14.684,28.436,38.012,43.376,-8.5,30.02,50.18
02-05,33.08,37.76,18.14,25.52,31.1,31.64,51.98,21.92,45.32,30.38,31.64,34.16,39.02,-17.32,49.82,31.82,43.16,15.08,-5.98,23.9,24.08,35.6,38.66,36.14,15.692,24.944,36.464,44.888,-17.32,31.64,51.98
02-06,15.98,40.64,13.64,29.3,16.52,30.2,39.74,26.24,41.36,30.02,20.66,24.08,34.52,-8.5,55.94,40.1,31.1,23.36,-7.78,28.58,10.04,32.36,34.34,35.6,10.76,22.28,33.152,40.532,-8.5,29.3,55.94
02-07,3.56,42.8,26.06,32.0,11.84,40.1,26.06,30.74,34.7,24.62,14.36,17.78,32.18,17.96,50.9,32.54,13.64,39.38,5.36,27.32,-2.56,43.88,37.22,31.28,6.656,17.888,33.404,42.26,-2.56,27.32,50.9
02-08,3.74,33.26,21.02,28.22,24.44,49.64,20.48,32.18,35.96,13.64,3.56,26.96,32.18,9.32,46.94,41.54,25.7,32.72,15.44,30.2,0.68,38.48,31.46,30.02,4.856,20.804,32.396,40.928,0.68,28.22,49.64
02-09,14.18,26.78,30.02,27.86,30.38,23.54,20.12,10.04,35.42,19.76,16.34,35.78,28.4,7.34,45.5,47.66,48.92,3.38,-4.0,23.36,-6.16,38.3,26.78,27.68,4.172,18.392,30.164,44.06,-6.16,26.78,48.92
02-10,25.52,39.56,30.56,29.84,38.12,15.26,34.52,38.84,26.96,24.62,26.42,17.6,20.48,30.56,39.02,51.8,42.44,17.06,0.14,21.56,-4.18,46.22,35.78,23.0,15.62,23.396,36.716,41.864,-4.18,29.84,51.8
02-11,18.68,36.68,28.04,17.78,45.5,29.84,35.24,33.98,23.72,30.74,37.4,13.28,21.74,34.16,36.86,46.4,31.64,17.24,22.46,27.86,-15.52,23.54,33.26,31.46,17.348,23.108,34.052,37.292,-15.52,29.84,46.4
02-12,25.52,23.18,33.44,35.6,41.72,39.74,10.04,38.66,24.62,38.12,48.38,32.72,29.48,40.82,47.84,41.9,33.62,3.38,36.14,20.48,-9.4,30.02,36.14,35.24,12.128,27.896,38.336,41.864,-9.4,33.62,48.38
02-13,11.12,36.32,37.4,39.92,38.3,40.82,10.76,32.54,21.02,31.82,44.42,32.9,37.4,40.28,46.76,41.18,37.58,30.02,34.34,27.14,-11.38,39.38,41.54,30.92,13.1,32.252,39.596,41.468,-11.38,37.4,46.76
02-14,19.76,27.68,30.38,37.94,25.16,23.36,10.58,25.34,18.86,24.62,46.22,26.6,24.26,37.22,46.22,39.2,41.18,36.32,21.2,32.0,-7.78,41.54,19.04,19.58,18.896,23.9,36.68,41.468,-7.78,26.6,46.22
02-15,11.3,33.8,35.06,34.52,19.22,10.4,37.04,32.18,26.78,31.46,48.56,24.62,32.0,39.38,30.92,42.62,51.26,15.62,28.4,30.2,24.08,32.18,13.82,13.1,14.18,25.916,34.088,41.972,10.4,31.46,51.26
02-16,4.64,40.64,38.84,34.52,21.92,-2.02,36.86,37.76,34.88,36.68,43.52,31.28,40.46,41.0,26.24,42.8,50.0,26.42,24.44,31.64,26.6,20.12,23.36,10.04,20.48,26.348,38.192,42.44,-2.02,34.52,50.0
02-17,30.56,39.92,34.52,44.78,28.4,-16.06,37.94,25.7,33.8,32.54,30.02,31.46,32.36,40.1,28.04,47.48,41.72,32.36,5.0,22.46,20.3,29.3,29.84,25.34,20.732,28.94,34.088,41.396,-16.06,31.46,47.48
02-18,37.58,33.62,32.36,46.76,26.6,0.32,41.18,37.4,32.9,26.24,24.44,33.62,23.36,35.42,39.56,45.32,42.8,7.7,1.4,18.14,17.96,32.54,31.1,32.36,9.752,25.52,36.212,42.476,0.32,32.54,46.76
02-19,29.84,33.98,32.72,33.26,34.34,13.28,32.36,42.08,35.96,22.28,7.34,27.86,23.9,32.18,45.5,43.52,43.88,-6.7,10.94,15.62,32.18,42.26,31.64,39.02,11.408,26.276,34.124,43.268,-6.7,32.18,45.5
02-20,17.96,34.88,34.16,30.74,27.86,23.9,40.46,39.92,23.0,17.06,2.48,26.96,25.7,28.4,32.9,35.24,44.06,0.32,17.78,28.58,27.5,30.02,33.62,41.0,17.204,24.98,33.188,38.984,0.32,28.4,44.06
02-21,33.98,41.0,34.52,31.1,32.0,26.78,30.02,38.12,32.54,14.36,20.12,40.28,24.08,23.9,17.42,31.28,43.16,12.38,9.5,37.76,34.88,-4.18,20.3,37.04,12.776,22.46,34.196,39.848,-4.18,31.1,43.16
02-22,30.56,49.28,12.56,30.92,30.38,31.82,38.48,36.86,41.54,26.96,25.16,39.02,28.76,15.98,6.62,33.98,32.9,11.84,15.08,37.76,46.22,-14.26,-10.48,37.22,7.664,21.488,35.132,41.036,-14.26,30.56,49.28
02-23,29.12,23.54,-6.34,34.16,35.78,36.68,32.18,36.14,45.68,32.9,13.64,24.62,30.02,10.22,27.68,31.28,22.46,15.44,19.4,36.5,29.3,-9.04,-15.7,38.12,-3.028,21.236,32.468,36.428,-15.7,29.12,45.68
02-24,25.88,4.82,6.26,40.64,40.64,26.78,24.62,33.08,42.26,37.04,-4.36,27.86,27.32,8.42,40.64,29.12,21.02,25.7,-0.04,28.58,20.3,10.4,9.86,43.34,5.108,16.34,28.796,40.64,-4.36,25.88,42.26
02-25,26.06,3.74,24.26,39.92,42.8,27.68,30.38,26.24,34.7,34.7,-2.2,34.52,32.18,11.84,23.36,36.68,18.32,28.22,-7.78,21.56,27.5,13.46,32.9,45.5,5.36,22.64,32.468,36.284,-7.78,27.5,42.8
02-26,17.6,16.7,26.42,40.46,39.56,45.14,29.48,31.28,11.84,35.06,21.02,26.24,27.14,26.78,4.28,45.68,23.0,27.14,-3.46,33.98,28.58,23.9,41.0,34.16,12.812,23.54,32.36,40.892,-3.46,27.14,45.68
02-27,16.16,23.9,24.44,37.22,33.08,50.0,26.24,41.0,19.58,38.3,25.52,21.56,29.48,38.66,14.36,47.12,20.84,22.28,14.36,35.78,22.82,39.56,29.66,12.2,16.844,22.604,36.356,40.712,14.36,26.24,50.0
02-28,31.82,13.64,24.62,30.2,37.58,48.38,25.16,38.3,28.22,38.48,34.16,22.46,34.34,7.16,12.92,42.08,24.62,25.16,24.08,41.36,24.26,46.4,27.32,31.1,15.404,24.62,35.636,41.936,7.16,28.22,48.38
02-29,,,,28.22,,,,41.54,,,,30.56,,,,37.04,,,,39.38,,,,42.62,15.404,24.62,35.636,41.936,7.16,28.22,48.38
03-01,36.68,9.68,18.68,26.24,38.84,38.66,21.74,41.54,45.14,39.74,33.08,27.86,44.06,-13.0,17.06,37.58,31.64,31.46,16.34,26.24,37.76,49.82,22.82,33.26,16.484,24.872,38.12,43.556,-13.0,31.64,49.82
03-02,34.16,14.0,28.22,25.16,40.46,28.22,21.74,29.12,50.0,42.08,39.74,27.5,49.46,11.66,25.88,40.64,34.88,33.62,-8.32,34.34,42.08,44.06,30.74,32.72,15.548,27.932,40.028,43.664,-8.32,33.62,50.0
03-03,25.7,23.72,17.42,26.6,41.54,30.92,31.82,35.78,43.7,42.62,37.22,40.64,37.94,41.0,8.06,44.96,43.16,27.86,-5.44,44.24,40.46,48.2,24.08,26.96,18.68,27.356,41.216,44.132,-5.44,37.22,48.2
03-04,30.02,37.94,9.68,30.92,40.82,33.62,40.82,28.58,39.56,39.38,30.38,46.58,19.94,38.66,15.62,43.16,45.14,20.84,5.72,39.56,40.28,29.66,23.9,25.88,16.484,29.228,39.56,42.692,5.72,33.62,46.58
03-05,40.82,33.62,27.32,31.64,44.24,37.04,44.24,22.64,33.8,37.4,32.36,45.68,24.26,44.96,35.24,49.64,40.46,25.88,17.96,39.38,44.06,21.92,20.84,27.14,22.064,29.912,40.604,44.816,17.96,35.24,49.64
03-06,40.28,4.28,19.04,28.58,44.96,46.22,44.6,30.38,18.68,37.94,16.52,29.66,38.12,44.24,43.88,48.2,27.68,24.8,12.74,50.0,44.78,17.06,17.78,23.18,16.628,22.496,44.024,45.968,4.28,30.38,50.0
03-07,39.38,1.04,10.04,43.7,41.36,38.84,47.66,37.76,30.92,41.18,16.34,23.18,37.04,36.32,43.34,38.12,29.3,33.26,33.62,48.56,37.58,23.54,18.86,22.82,16.844,30.272,39.056,43.628,1.04,37.04,48.56
03-08,43.52,5.0,1.22,47.66,41.0,33.98,44.06,35.42,21.56,42.26,27.86,35.96,33.26,43.16,39.74,37.58,38.3,41.18,26.42,32.54,36.14,13.46,15.62,28.94,13.892,30.668,40.244,43.448,1.22,35.96,47.66
03-09,37.04,25.52,20.66,50.18,51.08,30.2,43.34,36.14,2.84,34.16,39.2,48.74,32.0,52.16,43.16,35.6,21.56,40.82,23.0,30.02,31.1,2.84,15.08,41.54,16.196,28.22,39.848,49.892,2.84,34.16,52.16
03-10,27.32,36.14,42.44,28.04,39.38,23.0,41.36,41.72,-1.12,30.38,48.38,50.0,39.74,39.2,45.86,49.46,37.22,31.46,23.36,36.14,30.38,10.58,25.7,44.42,23.072,29.444,40.388,47.876,-1.12,36.14,50.0
03-11,31.46,41.0,45.86,38.12,53.24,24.26,51.98,45.68,15.26,32.36,37.22,48.38,32.36,30.56,49.46,44.42,39.92,32.72,30.74,42.08,29.84,26.96,24.26,40.46,24.8,31.172,43.016,49.244,15.26,37.22,53.24
03-12,37.4,37.94,46.94,47.3,31.82,15.8,58.28,37.04,25.34,41.72,33.62,43.34,34.7,33.26,46.76,47.3,38.48,37.22,33.98,26.78,33.08,46.04,23.18,39.74,25.628,33.476,42.368,47.228,15.8,37.22,58.28
03-13,42.26,28.58,53.24,33.26,26.24,22.46,49.82,34.34,36.5,40.82,40.46,47.66,49.82,38.48,44.96,46.04,44.96,39.56,26.78,24.44,36.86,40.1,37.4,32.0,26.348,35.636,43.34,49.388,22.46,39.56,53.24
03-14,28.76,24.98,50.36,34.88,23.9,31.82,35.96,29.48,42.26,33.26,43.7,40.46,51.98,41.9,53.24,38.48,49.64,45.86,26.24,24.08,39.02,37.22,42.08,30.38,25.232,32.684,42.152,50.216,23.9,38.48,53.24
03-15,28.76,25.16,48.02,40.1,28.58,29.66,34.34,30.92,44.06,41.36,43.16,50.9,48.92,39.38,59.36,33.44,55.22,40.1,31.64,12.92,39.74,44.24,31.46,35.78,28.616,31.568,43.52,50.504,12.92,39.74,59.36
03-16,30.92,20.84,43.34,46.4,38.3,33.08,48.02,30.2,41.18,50.54,36.86,48.74,40.64,48.74,40.1,31.1,44.96,34.88,34.34,22.1,33.26,33.62,25.7,41.54,26.6,33.188,42.044,48.596,20.84,36.86,50.54
03-17,35.06,10.94,35.78,45.5,31.1,37.58,54.5,33.62,32.18,50.36,31.46,47.66,31.64,37.4,31.28,25.88,41.36,31.46,35.6,33.26,36.86,33.26,25.88,39.02,26.924,31.568,37.076,47.228,10.94,33.62,54.5
03-18,37.58,17.06,31.1,50.18,28.22,32.18,47.12,39.02,34.52,33.08,35.24,41.54,28.76,29.3,38.48,22.28,56.3,32.0,34.34,24.44,42.26,39.92,32.36,46.94,25.196,31.64,38.696,46.148,17.06,34.34,56.3
03-19,47.12,27.86,34.88,46.94,29.3,24.44,44.96,35.6,42.26,25.52,38.84,31.28,29.3,33.08,42.26,29.12,50.36,32.54,37.4,21.02,46.22,45.68,34.88,44.96,25.988,30.488,42.26,46.796,21.02,34.88,50.36
03-20,37.22,2.84,38.3,34.16,36.14,21.38,50.9,33.08,46.4,34.16,39.2,32.9,41.54,33.26,52.52,47.12,34.52,36.68,41.9,25.34,34.16,32.54,30.02,40.46,26.276,33.188,38.66,46.976,2.84,34.52,52.52
03-21,42.44,12.74,40.82,39.92,39.92,23.54,38.3,31.28,48.92,46.22,38.84,45.5,31.1,21.02,52.7,47.66,31.46,39.56,39.56,33.8,30.56,28.4,25.88,34.34,24.008,31.208,40.28,47.372,12.74,38.84,52.7
03-22,41.0,40.28,47.66,46.4,37.94,31.46,47.48,30.02,43.7,36.86,32.0,51.26,22.1,15.26,45.5,35.78,45.5,46.4,39.74,34.34,32.54,35.06,25.88,26.06,26.708,33.62,44.42,47.264,15.26,37.94,51.26
03-23,24.08,27.14,37.58,52.16,24.44,38.48,46.04,39.56,32.0,35.24,30.02,44.6,18.32,26.6,44.96,34.52,39.74,43.16,42.8,42.08,28.4,45.86,32.0,25.88,24.872,31.208,42.368,45.68,18.32,37.58,52.16
03-24,24.26,22.64,33.62,51.44,16.88,46.4,50.9,41.9,32.54,38.48,27.14,35.06,20.48,22.82,35.96,37.58,45.32,38.12,39.02,33.8,30.92,46.58,32.36,19.22,22.676,31.784,38.696,46.544,16.88,35.06,51.44
03-25,28.22,31.1,37.94,43.34,27.14,50.0,52.7,29.66,27.86,42.08,29.48,45.32,29.3,38.48,38.3,31.82,40.28,32.18,40.46,29.84,33.08,38.66,26.06,20.12,27.932,29.768,39.308,44.924,26.06,33.08,52.7
03-26,37.22,39.92,33.08,41.9,36.68,39.38,42.08,28.4,14.9,39.74,33.62,48.02,37.4,37.76,49.46,33.98,41.54,32.9,47.84,28.76,33.44,44.6,22.46,28.76,28.472,33.548,40.568,47.192,14.9,37.4,49.46
03-27,32.0,36.5,28.76,38.66,46.94,37.58,41.36,26.96,28.04,39.74,28.94,44.78,41.0,31.64,56.48,41.0,41.36,40.1,38.66,28.94,40.28,48.2,22.1,36.14,28.184,31.856,41.0,46.508,22.1,38.66,56.48
03-28,39.74,33.62,29.3,39.56,45.86,48.74,31.1,27.68,35.78,47.84,31.46,48.02,45.32,37.04,52.88,35.06,39.02,36.86,31.82,34.52,51.44,56.84,24.98,39.56,29.66,34.16,45.536,50.9,24.98,37.04,56.84
03-29,39.38,32.9,34.34,46.58,37.58,43.52,26.6,27.32,29.3,50.0,36.68,44.24,43.34,44.06,46.04,32.9,44.96,34.88,31.1,39.74,31.82,33.08,22.46,34.16,27.716,32.9,43.412,45.824,22.46,36.68,50.0
03-30,29.48,32.72,49.82,54.86,33.08,39.02,29.12,25.16,24.62,34.34,44.06,54.32,42.44,32.9,52.16,37.94,39.56,38.12,33.26,43.52,23.9,38.12,26.24,29.12,25.376,32.828,40.712,51.692,23.9,37.94,54.86
