date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
06-30,61.52,67.28,73.4,60.08,59.9,63.86,68.18,70.16,65.84,65.66,61.88,67.64,67.1,55.58,71.06,62.6,58.28,54.32,58.1,51.26,70.88,58.28,64.4,60.8,56.084,60.008,67.172,70.736,51.26,63.86,73.4
07-01,64.76,62.06,69.62,61.34,66.2,61.52,66.02,64.04,59.9,67.28,59.0,72.68,68.9,58.1,69.08,67.46,67.82,58.82,60.08,56.3,70.7,60.08,65.48,55.4,58.856,60.836,67.352,69.512,56.3,64.76,72.68
07-02,68.9,63.14,69.62,59.72,59.9,62.6,70.7,55.22,59.36,66.74,65.66,67.1,72.32,62.78,64.22,69.44,66.38,58.64,57.38,62.78,72.14,62.6,66.2,55.76,58.784,62.6,66.884,70.484,55.22,64.22,72.32
07-03,68.36,62.42,65.48,62.6,54.68,62.06,68.72,64.76,57.2,53.78,72.14,77.36,75.2,67.46,68.54,66.2,69.62,53.42,51.08,62.6,73.04,58.82,52.7,51.26,53.492,60.764,68.432,72.86,51.08,64.76,77.36
07-04,68.9,72.5,64.58,55.04,60.98,62.6,71.6,76.28,59.18,56.66,64.58,64.58,66.74,73.22,73.76,65.66,68.54,55.04,54.5,61.7,65.84,60.8,48.92,53.06,55.04,60.908,67.46,73.076,48.92,64.58,76.28
07-05,72.32,65.48,68.18,50.18,66.56,62.42,72.14,64.76,64.22,50.0,66.74,56.84,62.42,71.6,52.7,60.08,69.62,62.24,53.06,60.08,58.1,60.26,53.96,58.28,52.772,59.288,65.912,71.204,50.0,62.42,72.32
07-06,66.02,64.58,58.64,60.26,72.32,66.74,78.26,61.52,60.62,48.2,64.58,66.74,62.06,69.98,54.68,55.58,68.18,76.46,57.92,60.26,66.56,63.5,53.96,57.2,54.86,60.26,66.632,71.852,48.2,63.5,78.26
07-07,69.08,67.64,60.26,62.42,70.7,66.02,70.88,63.86,60.8,54.68,67.28,66.92,59.54,63.14,58.28,57.56,68.72,70.34,60.62,64.58,68.0,64.04,57.38,58.28,57.704,60.728,67.424,70.088,54.68,64.04,70.88
07-08,68.18,70.52,63.14,55.22,77.9,69.44,65.48,62.78,51.62,61.88,66.92,69.62,65.12,63.68,57.2,69.62,73.76,66.56,55.4,58.46,68.54,69.8,57.92,67.46,55.76,62.42,68.9,70.376,51.62,65.48,77.9
07-09,63.68,62.96,66.2,62.42,75.56,68.36,66.2,67.82,54.32,68.0,65.48,74.12,63.5,68.0,62.78,68.72,71.6,70.88,52.88,61.52,62.24,68.36,65.3,69.62,61.664,63.284,68.144,71.456,52.88,66.2,75.56
07-10,61.88,64.76,67.46,67.1,57.92,68.36,58.46,73.22,59.54,66.38,65.3,73.04,71.42,69.8,61.7,53.78,69.44,73.76,63.68,60.98,67.64,61.52,67.1,74.12,58.676,61.808,67.928,72.716,53.78,66.38,73.76
07-11,67.82,73.94,66.2,67.28,62.42,72.32,64.04,57.02,66.02,59.0,62.06,69.44,71.06,60.26,66.56,55.04,63.14,62.96,67.64,64.04,71.96,60.8,63.86,75.2,59.252,62.744,67.424,71.78,55.04,64.04,73.94
07-12,66.92,81.5,74.12,64.22,72.68,67.64,68.0,58.64,64.22,70.16,63.86,73.76,67.82,63.86,66.02,56.3,61.88,64.22,65.48,71.42,64.58,66.92,62.06,71.24,61.916,64.22,67.892,73.544,56.3,66.02,81.5
07-13,65.12,80.6,76.1,64.94,80.6,67.82,72.32,67.1,61.7,61.34,67.1,74.3,63.5,68.18,66.02,57.38,73.76,71.78,65.48,57.74,58.1,69.8,61.52,70.7,58.748,64.364,70.592,75.74,57.38,67.1,80.6
07-14,61.16,79.16,66.2,74.48,65.84,75.2,71.24,68.36,57.74,58.28,62.42,68.18,61.52,61.34,62.78,61.34,73.4,69.8,68.0,57.2,60.8,70.16,61.7,72.68,58.784,61.448,68.936,74.264,57.2,65.84,79.16
07-15,59.0,73.04,69.62,68.18,72.86,77.36,76.82,67.64,60.98,66.92,64.4,68.36,71.78,55.94,58.1,61.52,70.88,62.06,60.98,61.88,69.08,69.08,64.58,68.0,59.396,61.988,69.296,73.004,55.94,67.64,77.36
07-16,60.62,67.46,74.66,71.6,75.2,73.58,75.2,62.06,65.3,74.84,71.24,61.7,55.58,62.78,61.34,56.12,69.8,63.32,57.74,68.9,73.4,71.42,68.72,70.16,58.316,62.492,71.492,74.804,55.58,68.72,75.2
07-17,58.64,66.38,77.36,75.02,55.58,73.4,70.16,59.18,68.72,66.56,69.26,66.2,59.72,68.9,55.22,61.88,60.98,62.42,60.98,71.78,74.3,76.28,69.08,66.02,58.748,61.52,69.62,74.876,55.22,66.56,77.36
07-18,58.64,70.7,75.2,72.14,65.66,75.38,70.7,59.36,71.96,66.2,74.84,75.74,68.54,63.5,54.32,66.2,64.04,69.08,62.6,62.42,78.44,72.5,65.3,69.8,59.972,64.796,72.032,75.344,54.32,68.54,78.44
07-19,64.22,67.64,76.82,68.9,75.38,68.18,77.36,64.4,70.34,59.0,75.92,77.9,68.36,69.8,63.5,75.38,69.62,66.56,59.72,63.5,78.98,66.02,60.98,69.98,61.484,65.372,72.356,77.252,59.0,68.36,78.98
07-20,65.3,63.14,74.66,65.84,70.88,71.78,78.26,64.94,59.36,58.28,62.06,74.48,68.36,72.5,66.56,69.44,72.32,67.28,57.02,61.34,66.74,71.06,60.8,68.18,59.648,64.22,70.952,74.084,57.02,66.74,78.26
07-21,64.94,57.02,71.06,64.4,72.68,68.36,79.16,71.96,63.5,58.1,62.78,74.48,70.7,61.7,62.6,70.88,67.82,70.16,56.66,66.38,66.2,71.06,68.54,68.9,58.82,64.04,70.772,72.536,56.66,67.82,79.16
07-22,62.24,57.74,74.3,56.3,69.08,72.86,78.8,70.52,69.8,61.52,62.78,68.9,69.44,66.02,66.92,74.48,67.64,63.86,64.94,73.76,67.46,71.6,74.12,71.6,61.664,65.588,70.952,74.264,56.3,68.9,78.8
07-23,61.16,62.06,79.88,53.6,71.6,75.56,78.44,66.74,75.2,60.98,61.34,71.96,69.44,69.08,61.7,63.5,71.6,62.06,69.8,65.3,68.0,64.04,73.76,75.2,61.196,62.924,71.6,75.488,53.6,68.0,79.88
07-24,65.3,70.52,75.38,60.26,67.46,69.26,72.5,61.34,65.66,64.76,68.36,68.0,69.98,73.4,66.38,67.46,73.76,65.12,67.82,65.66,67.64,63.86,71.78,78.26,64.04,65.66,69.548,73.22,60.26,67.64,75.38
07-25,63.86,67.28,64.94,69.8,50.0,71.96,64.76,64.04,67.46,73.22,74.12,66.2,64.04,63.68,68.9,71.42,58.64,60.26,64.4,63.86,71.96,65.84,75.02,75.2,60.944,64.04,69.26,72.968,50.0,65.84,75.02
07-26,61.16,64.76,63.86,68.0,54.68,72.5,59.9,73.04,67.28,69.44,68.72,67.28,64.22,63.32,69.08,67.28,65.84,59.36,65.3,63.86,73.58,62.42,69.08,64.04,60.152,63.86,68.288,71.888,54.68,65.84,73.58
07-27,65.84,57.38,68.54,60.44,65.48,77.18,65.3,74.48,54.86,61.52,61.88,60.62,65.66,64.76,53.42,70.16,68.9,57.74,66.92,68.0,77.36,65.84,62.96,63.5,57.452,61.736,67.352,73.616,53.42,65.48,77.36
07-28,74.84,63.68,73.04,57.92,68.0,78.44,72.32,70.34,56.12,62.96,63.86,68.9,61.16,67.46,54.32,61.88,68.9,58.28,63.14,63.68,68.36,66.74,60.8,63.68,57.992,62.528,68.576,72.896,54.32,63.86,78.44
07-29,65.66,68.36,66.74,61.52,71.06,83.3,74.66,70.16,50.72,70.34,71.96,69.8,55.76,67.46,60.08,65.84,67.46,59.36,61.7,62.42,65.48,70.88,64.58,67.82,59.504,63.716,69.944,71.78,50.72,66.74,83.3
07-30,58.64,70.52,71.42,68.18,69.08,74.3,77.18,69.8,57.2,70.16,71.78,75.38,56.48,68.9,66.74,72.14,73.04,64.58,65.66,69.98,72.14,73.22,69.08,63.86,59.828,68.612,71.924,74.084,56.48,69.98,77.18
07-31,59.36,66.2,66.92,68.9,69.26,59.54,74.3,66.74,56.66,66.92,71.6,71.24,63.32,69.26,69.62,75.56,73.22,68.9,66.92,69.44,70.34,70.88,71.42,64.22,60.296,66.92,70.556,72.896,56.66,69.26,75.56
08-01,62.96,54.68,67.28,71.6,70.88,59.0,62.6,74.3,66.56,63.68,64.04,69.98,61.88,68.18,73.4,65.48,69.08,69.62,66.56,68.18,71.96,76.1,71.42,71.6,62.024,64.904,70.34,73.112,54.68,68.18,76.1
08-02,76.64,58.1,73.22,66.38,63.86,61.16,65.48,70.16,69.98,64.94,66.92,69.62,58.46,65.66,69.62,71.24,54.5,69.08,69.26,69.44,69.8,71.6,65.48,77.0,59.0,65.48,69.692,71.528,54.5,69.08,76.64
08-03,76.28,55.22,68.9,61.34,55.94,67.82,68.72,68.36,68.18,60.98,69.26,53.78,58.64,65.66,67.28,68.54,56.3,64.76,68.72,69.44,64.94,70.88,59.54,74.3,56.012,61.196,68.612,69.404,53.78,67.28,76.28
08-04,73.76,60.08,65.48,63.5,60.98,66.92,68.9,62.6,64.4,57.38,67.28,60.26,62.78,59.9,59.9,59.18,66.02,60.62,66.92,64.94,70.52,76.64,60.26,65.66,59.9,60.476,66.38,70.196,57.38,63.5,76.64
08-05,68.9,64.58,67.64,64.58,72.5,63.68,61.88,68.36,59.18,63.14,63.5,72.86,65.12,57.38,60.08,65.84,57.38,53.6,64.4,65.66,66.92,62.06,57.02,65.48,57.38,61.988,65.732,68.792,53.6,64.4,72.86
08-06,75.56,70.16,71.24,66.56,73.22,64.94,64.4,66.92,60.08,65.3,65.66,71.6,63.5,65.84,61.16,64.04,54.32,60.62,67.64,66.56,64.22,49.46,54.86,67.46,55.904,63.824,66.704,71.528,49.46,65.3,75.56
08-07,76.46,58.46,72.14,62.42,72.32,68.9,69.8,71.96,56.84,63.5,67.1,73.22,64.58,67.64,59.54,60.62,60.08,66.92,63.86,66.74,68.54,61.16,54.32,53.42,58.676,61.916,68.684,72.284,54.32,66.74,76.46
08-08,67.82,51.26,69.62,57.02,67.1,69.62,68.54,66.56,51.8,65.84,61.34,75.74,62.42,65.3,52.7,65.84,63.32,70.34,63.32,64.04,69.44,70.88,59.36,49.82,53.564,62.96,68.108,70.196,51.26,65.84,75.74
08-09,54.86,57.02,69.08,55.22,62.42,71.42,69.44,68.9,57.74,63.14,58.1,74.48,55.76,63.86,59.9,62.96,58.28,73.76,62.24,60.44,56.12,71.78,66.02,53.42,55.832,58.208,67.172,71.708,54.86,62.42,74.48
08-10,62.96,67.46,73.94,54.32,59.72,71.6,67.28,66.56,64.4,61.52,61.7,65.66,59.36,65.66,65.84,60.26,60.98,75.56,57.92,62.6,66.92,73.04,61.52,56.48,59.432,61.52,66.704,72.752,54.32,64.4,75.56
08-11,67.64,57.02,75.38,58.64,55.04,71.42,59.18,62.06,69.8,65.12,60.08,61.7,64.76,69.26,71.42,59.36,63.68,77.9,56.12,69.26,68.54,72.14,62.42,60.44,57.344,61.052,69.26,71.996,55.04,64.76,77.9
08-12,69.62,53.78,73.22,61.52,47.3,55.4,73.94,63.68,69.08,58.46,60.98,64.94,64.58,69.8,69.08,60.44,62.42,74.3,56.48,69.44,60.98,69.8,64.04,62.06,55.616,60.98,69.224,72.536,47.3,64.04,74.3
08-13,67.46,63.32,78.08,64.22,43.34,56.12,70.52,61.16,61.52,50.54,67.82,67.64,60.98,67.46,73.94,62.78,61.34,59.9,58.46,60.26,63.32,64.76,58.1,61.16,56.516,60.692,65.84,69.98,43.34,62.78,78.08
08-14,63.14,64.94,75.2,65.48,53.78,65.66,65.66,61.52,53.6,53.42,73.04,71.96,64.4,61.88,74.84,67.46,55.94,58.64,61.34,59.18,71.42,64.58,64.04,56.48,54.212,61.448,65.66,72.824,53.42,64.4,75.2
08-15,62.96,57.38,78.44,68.18,62.06,64.58,69.44,57.2,47.84,56.12,65.84,49.64,69.26,65.66,71.42,67.1,58.82,66.38,58.28,66.02,71.78,67.64,74.48,62.24,56.336,60.764,67.856,71.708,47.84,65.84,78.44
08-16,64.76,56.66,74.12,61.34,67.1,59.36,66.74,64.4,48.92,60.26,58.82,55.22,74.48,61.88,54.5,68.72,64.4,70.52,57.92,71.06,75.02,69.62,71.78,62.24,55.508,59.9,69.08,73.652,48.92,64.4,75.02
08-17,68.54,53.78,59.18,60.26,65.12,54.86,66.92,66.56,53.96,67.82,66.2,63.32,71.42,64.04,48.56,69.98,64.22,71.96,49.46,76.1,70.7,71.06,75.2,64.04,53.816,62.096,69.116,71.852,48.56,66.2,76.1
08-18,72.86,57.02,67.1,54.14,50.18,57.2,63.68,70.34,59.54,71.78,66.02,62.24,69.44,63.86,46.76,54.32,67.82,58.46,60.08,72.68,47.48,65.48,73.76,70.88,50.972,57.956,67.388,72.5,46.76,63.68,73.76
08-19,68.18,63.68,75.56,58.64,56.12,64.04,68.18,71.96,58.1,67.1,58.28,66.02,72.68,65.66,56.84,47.84,66.02,56.3,68.36,64.58,48.38,64.04,57.74,69.08,56.156,58.208,66.452,71.24,47.84,64.04,75.56
08-20,65.12,59.72,70.52,60.26,65.3,66.38,61.7,67.46,61.88,69.26,62.24,70.16,70.34,60.44,63.14,57.56,60.26,46.76,62.78,69.62,48.2,67.1,53.96,66.92,54.68,60.368,66.668,70.052,46.76,62.78,70.52
08-21,67.28,53.42,67.82,67.1,70.7,65.84,58.82,57.02,67.82,74.3,69.98,71.24,65.84,52.88,66.38,68.9,59.54,46.76,64.4,66.38,51.26,67.82,63.68,64.4,52.988,62.024,67.82,70.556,46.76,66.38,74.3
08-22,70.34,57.02,71.78,62.6,67.28,74.84,54.5,53.96,66.92,65.3,75.56,66.92,66.92,51.62,47.48,69.08,65.3,56.12,61.52,71.06,59.72,66.74,68.36,63.68,54.068,60.8,67.712,71.636,47.48,66.74,75.56
08-23,74.66,57.56,70.34,57.2,66.38,73.76,55.22,64.4,63.86,53.42,72.86,69.08,68.0,48.02,56.48,56.84,70.88,61.34,54.5,64.58,64.04,65.48,67.46,65.66,54.644,57.416,67.676,72.464,48.02,64.4,74.66
08-24,63.86,56.84,67.64,57.02,53.78,60.08,55.22,70.52,59.0,59.54,69.98,65.3,65.48,46.58,68.0,48.02,66.92,63.14,63.32,72.5,52.34,58.28,64.76,67.1,52.628,57.776,65.372,69.584,46.58,63.14,72.5
08-25,63.68,61.16,69.44,51.8,53.96,54.5,69.44,73.22,66.02,68.9,71.06,56.84,71.78,48.38,71.6,48.38,65.3,54.32,58.28,69.44,52.34,60.44,59.36,58.1,51.908,55.904,69.116,71.492,48.38,61.16,73.22
08-26,66.74,60.98,73.58,47.12,62.78,55.22,70.16,59.0,70.7,77.54,69.44,59.54,71.06,57.02,70.7,51.98,66.02,53.24,53.06,63.68,57.56,63.68,64.22,54.32,53.096,58.424,67.82,70.988,47.12,63.68,77.54
08-27,69.44,52.52,67.1,50.36,66.2,62.78,60.26,55.76,67.64,66.92,73.76,72.68,67.64,63.5,64.76,62.78,67.1,45.68,53.24,59.18,56.3,65.3,62.42,65.48,52.664,59.828,66.992,69.08,45.68,63.5,73.76
08-28,70.52,54.5,60.08,57.38,66.02,66.74,51.98,58.82,62.6,51.26,69.26,78.26,69.62,64.76,67.28,66.38,71.06,48.02,64.04,58.82,53.24,57.38,64.22,56.48,52.232,58.244,66.524,70.34,48.02,64.04,78.26
08-29,59.54,59.0,48.2,59.0,73.94,72.86,62.42,64.04,60.26,53.24,64.76,73.58,66.92,59.18,70.34,62.96,69.08,61.52,56.84,68.72,60.44,61.7,68.36,56.84,57.272,59.972,67.496,72.356,48.2,62.42,73.94
08-30,63.68,62.06,52.16,64.58,53.42,69.44,73.58,73.58,60.08,46.76,65.84,60.98,67.28,56.84,67.28,70.34,70.88,61.7,56.12,49.28,67.28,69.98,63.32,65.12,52.412,60.62,67.28,70.772,46.76,63.68,73.58
08-31,66.74,59.0,62.06,68.0,54.14,49.64,70.16,56.3,59.9,51.08,62.78,66.92,62.24,51.62,59.54,74.3,68.36,56.48,64.04,46.76,69.44,72.5,60.8,64.94,51.188,57.992,66.812,70.016,46.76,62.06,74.3
09-01,72.32,64.58,68.54,72.68,60.44,49.46,70.52,41.72,60.08,53.24,47.12,64.58,65.48,51.8,69.44,69.26,64.58,58.1,64.94,58.1,55.94,71.96,61.7,66.2,49.928,58.1,66.704,71.672,41.72,64.58,72.68
09-02,66.56,60.26,58.46,53.96,67.82,54.86,71.24,46.04,68.18,50.54,54.32,64.22,66.02,60.44,72.14,68.36,71.24,57.38,67.46,64.4,52.34,67.28,68.72,74.12,52.664,58.028,67.604,70.736,46.04,64.4,72.14
09-03,73.22,70.16,64.22,45.68,72.68,60.44,74.84,48.92,69.8,59.9,48.74,61.7,69.98,58.28,58.64,55.4,72.32,60.62,63.68,60.44,51.62,75.38,61.88,62.6,49.46,59.396,69.872,73.112,45.68,61.7,75.38
09-04,69.44,71.06,71.78,51.62,64.94,63.5,72.32,44.42,70.34,64.22,56.66,57.02,66.74,46.22,48.74,46.4,53.42,48.92,71.96,66.56,57.74,74.66,52.16,58.82,46.868,52.916,67.82,71.924,44.42,63.5,74.66
09-05,63.5,65.3,69.62,53.42,59.0,66.02,59.0,46.76,69.8,48.02,69.08,58.46,69.8,50.36,53.24,44.6,54.32,53.42,66.56,76.28,66.74,71.42,53.78,59.36,48.488,53.636,66.632,69.8,44.6,59.0,76.28
09-06,45.68,53.78,64.94,51.26,54.86,64.76,55.4,45.5,70.16,45.14,66.56,49.82,69.62,57.02,52.34,52.88,61.34,64.94,55.94,63.32,69.26,69.26,60.8,65.12,46.508,53.42,64.832,69.26,45.14,57.02,70.16
09-07,39.74,53.78,63.32,55.22,62.42,64.04,55.4,40.64,55.58,54.5,65.12,54.86,64.58,62.6,51.44,52.88,63.5,65.3,49.46,37.4,62.6,77.72,60.08,67.1,42.404,54.212,62.888,65.012,37.4,55.58,77.72
09-08,44.96,51.98,58.46,57.92,68.9,60.26,42.26,46.76,52.88,53.06,65.12,62.06,59.18,65.3,53.6,55.4,66.2,66.02,49.64,33.26,65.48,54.32,56.48,69.26,45.32,52.988,60.98,65.912,33.26,56.48,68.9
09-09,53.78,55.22,50.36,63.32,70.16,61.88,40.28,59.72,61.7,48.2,63.68,71.06,57.02,45.86,59.36,48.92,70.16,59.54,51.62,42.98,69.8,42.08,51.8,67.82,43.556,51.116,61.772,70.088,40.28,57.02,71.06
09-10,62.6,59.0,48.56,59.36,55.4,61.7,52.88,44.96,60.98,49.64,64.22,70.7,60.26,37.76,57.92,60.62,67.82,62.06,48.2,51.08,70.34,48.2,51.44,62.96,48.2,51.296,61.268,67.1,37.76,59.0,70.7
09-11,51.8,62.42,58.64,65.84,49.46,59.72,62.24,45.5,52.88,55.94,66.74,50.18,61.7,32.0,59.18,58.82,66.74,54.14,44.6,58.28,63.14,61.88,56.48,60.8,46.292,53.636,61.772,65.3,32.0,58.64,66.74
09-12,49.46,60.26,46.22,54.68,47.66,66.74,60.08,56.12,52.52,59.0,61.7,48.38,59.18,39.56,66.92,36.14,69.98,52.88,49.46,63.14,59.9,64.58,61.52,50.9,46.508,51.296,60.764,66.308,36.14,59.0,69.98
09-13,53.6,62.42,44.42,46.58,49.28,68.54,44.24,44.24,51.8,60.8,55.04,56.48,59.72,41.54,71.24,38.48,62.06,52.16,59.18,61.7,53.42,60.98,54.86,51.44,44.24,50.792,60.152,62.348,38.48,54.86,71.24
09-14,48.02,59.54,56.3,43.34,51.44,53.78,50.54,50.9,67.82,53.78,43.34,65.48,53.42,45.32,64.4,45.5,44.78,48.92,62.78,69.44,54.32,53.24,54.86,57.74,44.888,49.892,55.436,65.264,43.34,53.42,69.44
09-15,48.2,70.7,58.28,50.0,58.64,45.86,62.42,62.06,63.68,52.88,56.12,67.82,52.34,53.42,54.14,50.18,35.96,53.78,69.62,64.76,63.86,55.58,55.76,63.5,48.56,53.204,62.204,67.208,35.96,55.76,70.7
09-16,53.6,69.08,44.96,55.58,59.9,38.66,65.12,65.12,66.74,59.72,56.48,53.6,62.06,62.78,48.02,54.32,36.32,55.58,65.84,54.14,47.3,51.44,63.32,,45.428,53.6,62.348,65.696,36.32,55.58,69.08
09-17,51.98,51.26,35.24,63.14,48.2,41.18,54.86,63.68,68.72,40.1,52.16,53.24,57.74,63.5,45.86,61.52,44.78,51.98,52.34,57.74,57.38,53.24,66.92,,41.9,51.692,57.74,63.644,35.24,53.24,68.72
09-18,58.64,46.4,43.88,62.6,49.28,49.46,46.76,61.88,64.94,42.62,54.32,63.68,51.44,60.8,48.2,59.54,55.94,52.34,52.88,62.6,67.1,54.5,63.32,,46.472,50.648,61.232,63.608,42.62,54.5,67.1
09-19,56.84,55.4,53.96,45.86,58.82,54.5,47.66,64.58,70.16,54.68,54.32,58.82,47.12,59.36,56.3,55.76,42.44,43.16,51.98,59.54,50.18,61.16,56.84,,46.112,53.168,57.632,60.836,42.44,55.4,70.16
09-20,51.8,49.1,50.9,37.4,66.92,46.94,51.62,63.14,52.34,54.14,44.96,60.8,54.86,55.22,63.32,54.68,45.86,45.14,44.42,54.86,44.96,43.7,49.1,,44.528,46.508,54.752,62.672,37.4,51.62,66.92
09-21,61.52,39.56,45.68,40.64,51.62,44.06,53.78,55.04,46.76,50.72,50.72,62.06,64.04,56.3,63.14,45.32,38.48,51.26,44.78,57.02,50.72,42.8,44.42,,41.072,45.104,54.284,61.952,38.48,50.72,64.04
09-22,54.68,48.92,56.3,45.32,54.68,38.12,62.6,49.1,55.94,42.08,64.04,59.36,57.56,59.9,53.06,46.76,34.88,63.86,48.92,60.8,61.88,50.36,44.42,,42.548,48.92,58.28,62.456,34.88,54.68,64.04
09-23,58.64,48.38,57.2,52.7,43.88,42.62,50.0,45.5,60.44,49.64,68.72,58.82,53.24,62.24,62.78,46.94,36.14,49.46,57.38,59.36,55.76,59.18,47.84,,44.204,49.028,58.712,61.88,36.14,53.24,68.72
09-24,68.54,46.4,47.66,54.68,38.48,48.38,39.56,57.74,62.96,53.96,68.36,59.54,55.4,65.84,66.2,46.22,38.12,42.62,57.02,65.48,54.68,57.92,53.78,,40.172,48.092,58.568,66.128,38.12,54.68,68.54
09-25,70.16,38.48,67.64,60.62,47.48,56.48,48.38,62.24,62.96,62.24,69.98,59.18,41.9,69.62,71.24,47.66,42.62,44.42,48.92,54.68,65.48,56.66,60.26,,42.98,48.704,62.528,69.908,38.48,59.18,71.24
09-26,66.02,49.64,53.78,59.36,54.5,55.58,52.16,55.04,66.56,68.72,63.14,57.2,35.6,66.38,70.7,55.76,48.2,49.82,55.22,49.28,67.46,59.72,62.96,,49.352,54.212,63.032,67.28,35.6,55.76,70.7
09-27,66.56,39.2,50.36,50.0,49.28,46.76,54.86,59.54,45.68,63.86,67.82,54.14,37.94,47.66,56.48,62.78,49.82,43.34,42.98,42.98,67.28,61.88,55.22,,42.98,47.3,57.704,66.02,37.94,50.36,67.82
09-28,65.66,43.7,48.74,50.0,46.94,58.46,59.9,51.8,47.66,68.72,58.28,59.0,48.92,41.36,50.0,53.96,50.72,35.78,34.7,48.56,61.52,66.2,46.76,,41.828,48.2,58.352,64.832,34.7,50.0,68.72
09-29,55.22,55.22,41.54,54.5,61.7,57.74,45.5,54.5,65.66,55.58,49.46,59.9,55.58,44.06,56.66,60.8,51.8,35.96,32.18,58.46,44.42,61.52,48.74,,42.044,49.172,57.092,61.376,32.18,55.22,65.66
09-30,58.46,43.7,45.5,48.92,65.66,63.68,47.66,59.72,39.74,56.48,67.28,56.84,46.76,46.58,60.8,59.72,54.32,33.62,32.18,47.12,49.64,47.12,47.84,,40.532,46.976,57.488,63.104,32.18,48.92,67.28
